Pas	Proportion
0	0.00000
1	0.00000
2	0.11200
3	0.11200
4	0.13000
5	0.13000
6	0.13900
7	0.13900
8	0.14000
9	0.14000
10	0.14200
11	0.14200
12	0.14400
13	0.14400
14	0.14400
15	0.14400
16	0.14600
17	0.14600
18	0.14600
19	0.14600
20	0.14600
21	0.14600
22	0.14600
23	0.14600
24	0.14600
25	0.14600
26	0.14600
27	0.14600
28	0.14600
29	0.14600
30	0.14600
31	0.14600
32	0.14600
33	0.14600
34	0.14600
35	0.14600
36	0.14600
37	0.14600
38	0.14600
39	0.14600
40	0.14600
41	0.14600
42	0.14600
43	0.14600
44	0.14600
45	0.14600
46	0.14600
47	0.14600
48	0.14600
49	0.14600
50	0.14600
51	0.14600
52	0.14600
53	0.14600
54	0.14600
55	0.14600
56	0.14700
57	0.14700
58	0.14700
59	0.14700
60	0.14700
61	0.14700
62	0.14700
63	0.14700
64	0.14700
65	0.14700
66	0.14700
67	0.14700
68	0.14700
69	0.14700
70	0.14700
71	0.14700
72	0.14700
73	0.14700
74	0.14700
75	0.14700
76	0.14700
77	0.14700
78	0.14700
79	0.14700
80	0.14700
81	0.14700
82	0.14700
83	0.14700
84	0.14700
85	0.14700
86	0.14700
87	0.14700
88	0.14700
89	0.14700
90	0.14700
91	0.14700
92	0.14700
93	0.14700
94	0.14700
95	0.14700
96	0.14700
97	0.14700
98	0.14700
99	0.14700
100	0.14700
101	0.14700
102	0.14700
103	0.14700
104	0.14700
105	0.14700
106	0.14700
107	0.14700
108	0.14700
109	0.14700
110	0.14700
111	0.14700
112	0.14700
113	0.14700
114	0.14700
115	0.14700
116	0.14700
117	0.14700
118	0.14700
119	0.14700
120	0.14700
121	0.14700
122	0.14700
123	0.14700
124	0.14700
125	0.14700
126	0.14700
127	0.14700
128	0.14700
129	0.14700
130	0.14700
131	0.14700
132	0.14700
133	0.14700
134	0.14700
135	0.14700
136	0.14700
137	0.14700
138	0.14800
139	0.14800
140	0.14800
141	0.14800
142	0.14800
143	0.14800
144	0.14800
145	0.14800
146	0.14800
147	0.14800
148	0.14800
149	0.14800
150	0.14800
151	0.14800
152	0.14800
153	0.14800
154	0.14800
155	0.14800
156	0.14800
157	0.14800
158	0.14800
159	0.14800
160	0.14800
161	0.14800
162	0.14800
163	0.14800
164	0.14800
165	0.14800
166	0.14800
167	0.14800
168	0.14800
169	0.14800
170	0.14800
171	0.14800
172	0.14800
173	0.14800
174	0.14800
175	0.14800
176	0.14800
177	0.14800
178	0.14800
179	0.14800
180	0.14800
181	0.14800
182	0.14800
183	0.14800
184	0.14800
185	0.14800
186	0.14800
187	0.14800
188	0.14800
189	0.14800
190	0.14800
191	0.14800
192	0.14800
193	0.14800
194	0.14900
195	0.14900
196	0.14900
197	0.14900
198	0.14900
199	0.14900
200	0.14900
201	0.14900
202	0.14900
203	0.14900
204	0.14900
205	0.14900
206	0.14900
207	0.14900
208	0.14900
209	0.14900
210	0.14900
211	0.14900
212	0.14900
213	0.14900
214	0.14900
215	0.14900
216	0.14900
217	0.14900
218	0.14900
219	0.14900
220	0.14900
221	0.14900
222	0.14900
223	0.14900
224	0.14900
225	0.14900
226	0.14900
227	0.14900
228	0.14900
229	0.14900
230	0.14900
231	0.14900
232	0.14900
233	0.14900
234	0.14900
235	0.14900
236	0.14900
237	0.14900
238	0.14900
239	0.14900
240	0.14900
241	0.14900
242	0.14900
243	0.14900
244	0.14900
245	0.14900
246	0.14900
247	0.14900
248	0.14900
249	0.14900
250	0.14900
251	0.14900
252	0.14900
253	0.14900
254	0.14900
255	0.14900
256	0.14900
257	0.14900
258	0.14900
259	0.14900
260	0.14900
261	0.14900
262	0.14900
263	0.14900
264	0.14900
265	0.14900
266	0.14900
267	0.14900
268	0.14900
269	0.14900
270	0.14900
271	0.14900
272	0.14900
273	0.14900
274	0.14900
275	0.14900
276	0.14900
277	0.14900
278	0.14900
279	0.14900
280	0.14900
281	0.14900
282	0.14900
283	0.14900
284	0.14900
285	0.14900
286	0.14900
287	0.14900
288	0.14900
289	0.14900
290	0.14900
291	0.14900
292	0.14900
293	0.14900
294	0.14900
295	0.14900
296	0.14900
297	0.14900
298	0.14900
299	0.14900
300	0.14900
301	0.14900
302	0.14900
303	0.14900
304	0.14900
305	0.14900
306	0.14900
307	0.14900
308	0.14900
309	0.14900
310	0.14900
311	0.14900
312	0.14900
313	0.14900
314	0.14900
315	0.14900
316	0.14900
317	0.14900
318	0.14900
319	0.14900
320	0.14900
321	0.14900
322	0.14900
323	0.14900
324	0.14900
325	0.14900
326	0.14900
327	0.14900
328	0.14900
329	0.14900
330	0.14900
331	0.14900
332	0.14900
333	0.14900
334	0.14900
335	0.14900
336	0.14900
337	0.14900
338	0.14900
339	0.14900
340	0.14900
341	0.14900
342	0.14900
343	0.14900
344	0.14900
345	0.14900
346	0.14900
347	0.14900
348	0.14900
349	0.14900
350	0.14900
351	0.14900
352	0.14900
353	0.14900
354	0.14900
355	0.14900
356	0.14900
357	0.14900
358	0.14900
359	0.14900
360	0.14900
361	0.14900
362	0.14900
363	0.14900
364	0.14900
365	0.14900
366	0.14900
367	0.14900
368	0.14900
369	0.14900
370	0.14900
371	0.14900
372	0.14900
373	0.14900
374	0.14900
375	0.14900
376	0.14900
377	0.14900
378	0.14900
379	0.14900
380	0.14900
381	0.14900
382	0.14900
383	0.14900
384	0.14900
385	0.14900
386	0.14900
387	0.14900
388	0.14900
389	0.14900
390	0.14900
391	0.14900
392	0.14900
393	0.14900
394	0.14900
395	0.14900
396	0.14900
397	0.14900
398	0.14900
399	0.14900
400	0.14900
401	0.14900
402	0.14900
403	0.14900
404	0.14900
405	0.14900
406	0.14900
407	0.14900
408	0.14900
409	0.14900
410	0.14900
411	0.14900
412	0.14900
413	0.14900
414	0.14900
415	0.14900
